113,7,2,1,SCENE I. Before PAGE'S house.
114,7,2,2,SCENE II. A room in the Garter Inn.
115,7,2,3,SCENE III. A field near Windsor.
116,7,3,1,SCENE I. A field near Frogmore.
117,7,3,2,SCENE II. A street.
118,7,3,3,SCENE III. A room in FORD'S house.
119,7,3,4,SCENE IV. A room in PAGE'S house.
120,7,3,5,SCENE V. A room in the Garter Inn.
121,7,4,1,SCENE I. A street.
122,7,4,2,SCENE II. A room in FORD'S house.
123,7,4,3,SCENE III. A room in the Garter Inn.
124,7,4,4,SCENE IV. A room in FORD'S house.
125,7,4,5,SCENE V. A room in the Garter Inn.
126,7,4,6,SCENE VI. Another room in the Garter Inn.
127,7,5,1,SCENE I. A room in the Garter Inn.
128,7,5,2,SCENE II. Windsor Park.
129,7,5,3,SCENE III. A street leading to the Park.
130,7,5,4,SCENE IV. Windsor Park.
131,7,5,5,SCENE V. Another part of the Park.
132,8,1,1,SCENE I. Venice. A street.
133,8,1,3,SCENE III. Venice. A public place.
134,8,2,1,SCENE I. Belmont. A room in PORTIA'S house.
135,8,2,2,SCENE II. Venice. A street.
136,8,2,3,SCENE III. The same. A room in SHYLOCK'S house.
137,8,2,4,SCENE IV. The same. A street.
138,8,2,5,SCENE V. The same. Before SHYLOCK'S house.
139,8,2,6,SCENE VI. The same.
140,8,2,7,SCENE VII. Belmont. A room in PORTIA'S house.
141,8,2,8,SCENE VIII. Venice. A street.
142,8,2,9,SCENE IX. Belmont. A room in PORTIA'S house.
143,8,3,1,SCENE I. Venice. A street.
144,8,3,2,SCENE II. Belmont. A room in PORTIA'S house.
145,8,3,3,SCENE III. Venice. A street.
146,8,3,4,SCENE IV. Belmont. A room in PORTIA'S house.
147,8,3,5,SCENE V. The same. A garden.
148,8,4,1,SCENE I. Venice. A court of justice.
149,8,4,2,SCENE II. The same. A street.
150,8,5,1,SCENE I. Belmont. Avenue to PORTIA'S house.
151,9,1,1,SCENE I. Athens. The palace of THESEUS.
152,9,1,2,SCENE II. Athens. QUINCE'S house.
153,9,2,1,SCENE I. A wood near Athens.
154,9,2,2,SCENE II. Another part of the wood.
155,9,3,1,SCENE I. The wood. TITANIA lying asleep.
156,9,3,2,SCENE II. Another part of the wood.
157,9,4,1,"SCENE I. The same. LYSANDER, DEMETRIUS, HELENA, and HERMIA"
158,9,4,2,SCENE II. Athens. QUINCE'S house.
159,9,5,1,SCENE I. Athens. The palace of THESEUS.
160,10,1,1,SCENE I. Before LEONATO'S house.
161,10,1,2,SCENE II. A room in LEONATO's house.
162,10,1,3,SCENE III. The same.
163,10,2,1,SCENE I. A hall in LEONATO'S house.
164,10,2,2,SCENE II. The same.
165,10,2,3,SCENE III. LEONATO'S orchard.
166,10,3,1,SCENE I. LEONATO'S garden.
167,10,3,2,SCENE II. A room in LEONATO'S house
168,10,3,3,SCENE III. A street.
169,10,3,4,SCENE IV. HERO's apartment.
